"","SDI","Temp.30da","TDC.mg.L.PW","TDN.ug.L.PW","pct_OM","Bulk_Density_g_mL"
"SDI",1,0.357142857142857,0.928571428571429,0.714285714285714,0.642857142857143,-0.642857142857143
"Temp.30da",0.357142857142857,1,0.285714285714286,0.5,0.142857142857143,-0.142857142857143
"TDC.mg.L.PW",0.928571428571429,0.285714285714286,1,0.642857142857143,0.571428571428571,-0.571428571428571
"TDN.ug.L.PW",0.714285714285714,0.5,0.642857142857143,1,0.357142857142857,-0.5
"pct_OM",0.642857142857143,0.142857142857143,0.571428571428571,0.357142857142857,1,-0.428571428571429
"Bulk_Density_g_mL",-0.642857142857143,-0.142857142857143,-0.571428571428571,-0.5,-0.428571428571429,1
