Event,Canal,Date,Water Volume (mL),Tin #,Tin + filter wt (g),Tin + filter + TSS wt (g),TSS (g/mL),TSS (mg/mL),Light extinction coefficient (for z in cm and light in ln(lumens) )
3,MSL,8/2/2021,625,118,1.5429,1.6082,0.000104,0.10448,0.0637
2,A,7/6/2021,680,119,1.5273,1.532,0.000007,0.006911764706,0.0278
3,A,8/10/2021,365,120,1.6411,1.6622,0.000058,0.05780821918,0.0455
3,DRL,7/27/2021,685,121,1.5587,1.6084,0.000073,0.07255474453,0.0562
2,DRL,6/21/2021,680,122,1.5586,1.5641,0.000008,0.008088235294,0.0228
1,DRL,5/24/2021,370,123,1.5444,1.5525,0.000022,0.02189189189,0.0378
2,MSL,6/29/2021,255,145,1.5699,1.571,0.000004,0.00431372549,0.0279
1,MSL,6/1/2021,390,146,1.562,1.5647,0.000007,0.006923076923,NA
1,A,6/7/2021,405,147,1.5681,1.5739,0.000014,0.01432098765,0.0363
