Event,Canal,Date,aveWholeCanalGPP,sdWholeCanalGPP,aveWholeCanalER,sdWholeCanalER,ave_Biomass_per_Area,sd_Biomass_per_Area,aveSedPercentOM,sdSedPercentOM,avePlantGPP,sdPlantGPP,avePlantER,sdPlantER,aveSedGPP,sdSedGPP,aveSedER,sdSedER
1,A,6/7/2021,7.611151,4.294671062,-6.437622,2.080480033,7.125645316,2.709727581,0.695,0.273331301,1.311928843,1.720198458,2.319151401,1.239882077,NA,NA,0.46966723,0.088176558
1,UL,5/24/2021,NA,NA,NA,NA,3.934181481,1.397298128,1.423333333,0.301308259,2.239142909,1.312282164,1.365159117,0.988670966,NA,NA,1.254508614,0.504758215
1,DL,6/1/2021,11.84833771,8.129152874,-11.29705386,5.152465455,9.39604439,4.583774073,2.381666667,2.609815447,3.56683045,0.996910912,1.884553309,0.174261348,NA,NA,0.49004537,0.216943745
2,A,7/6/2021,6.783991,0.010100313,-10.735835,0.103711352,19.67591976,14.92356775,1.268333333,0.927672715,0.454260912,0.649898636,1.211054,0.200314369,NA,NA,0.72515841,0.226397688
2,UL,6/21/2021,11.7848105,2.151357533,-19.36624,3.622960588,13.75872597,4.691604874,1.498333333,1.225845287,0.876285061,0.670095918,1.794704242,0.287437302,NA,NA,1.105335468,0.387450549
2,DL,6/29/2021,24.70871,4.831847637,-25.50871333,1.809180371,20.77856376,6.518176779,1.316666667,0.522404696,1.35386984,1.103404756,1.504160169,0.293334691,NA,NA,1.262424801,0.363154753
3,A,8/10/2021,NA,NA,NA,NA,0,0,0.881666667,0.386958223,NA,NA,NA,NA,NA,NA,1.454730252,0.785648008
3,UL,7/27/2021,11.13216317,1.97821723,-25.18050167,1.468917882,14.88260712,11.55071355,1.925,2.057938289,0.918672752,0.456784551,1.174198415,0.109553581,NA,NA,1.292149802,0.216776158
3,DL,8/2/2021,21.08281667,2.124784485,-30.77404667,6.674752092,7.49380293,4.376043983,2.336666667,2.073611986,1.715425114,0.871415706,1.659996725,0.453156187,NA,NA,1.418469209,0.462827916
