"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"5","TSS_PW NH4",8,-6.44822585221894,0,1,0.998800348004298,11.2241129261095,0.998800348004298
"4","TSS_SW TDN",8,7.59942973244034,14.0476555846593,0.00089041065429925,0.000889342471380825,4.20028513377983,0.999689690475678
"1","TSS",7,9.70525423252034,16.1534800847393,0.000310682197150147,0.000310309486632306,2.14737288373983,0.999999999962311
"6","SW TDN_PW NH4",8,43.1950406257462,49.6432664779651,1.65997540161084e-11,1.65798400880748e-11,-13.5975203128731,0.999999999978891
"2","SW TDN",7,43.8000410116764,50.2482668638953,1.22666927637104e-11,1.22519770012557e-11,-14.9000205058382,0.999999999991143
"3","PW NH4",7,44.4488865603357,50.8971124125546,8.86813850059371e-12,8.8574998205433e-12,-15.2244432801678,1
