"","Biomass_per_Area","TSS_mgmL","TDN.ug.L.SW","Ammonium.mg.L.PW"
"Biomass_per_Area",1,-0.5,0.5,0.428571428571429
"TSS_mgmL",-0.5,1,0,0.0714285714285714
"TDN.ug.L.SW",0.5,0,1,0.642857142857143
"Ammonium.mg.L.PW",0.428571428571429,0.0714285714285714,0.642857142857143,1
