Event,Date,Time,Canal,Treatment,Transect,Cross-Sectional Area (m^2),Discharge (cms),Distance Along Bottom (m),Area Along Bottom (m^3)
3,8/10/2021,9:10,A,T,4,11.335,NA,10.42629435,4.171039055
3,8/10/2021,9:20,A,T,2,9.57,NA,9.877423891,3.951463428
3,8/10/2021,9:25,A,T,1,9.425,NA,9.461624362,3.785122826
3,8/10/2021,9:30,A,C,5,10.0325,NA,9.676902729,3.871244937
3,8/10/2021,9:55,A,C,2,9.04,NA,9.30558228,3.722698191
3,8/10/2021,NA,A,C,1,8.72,NA,9.711830707,3.885217874
3,8/10/2021,13:30,A,NA,NA,9.523476,5.90972148,10.49670015,4.199204895
NA,4/7/2021,16:10,A,NA,NA,7.757541,1.86010677,NA,NA
NA,4/23/2021,12:45,A,NA,NA,7.87908,2.26693476,NA,NA
NA,5/7/2021,11:50,A,NA,NA,7.438644,2.8971621,NA,NA
NA,5/17/2021,13:35,A,NA,NA,9.009888,2.1710142,NA,NA
NA,5/31/2021,11:10,A,NA,NA,8.64108,1.9881342,NA,NA
NA,6/14/2021,NA,A,NA,NA,13.16736,3.60511344,NA,NA
NA,6/28/2021,12:40,A,NA,NA,12.318492,3.91011156,NA,NA
NA,7/12/2021,11:05,A,NA,NA,10.748772,3.53767644,NA,NA
NA,7/19/2021,14:30,A,NA,NA,9.957816,3.56785164,NA,NA
NA,7/26/2021,9:45,A,NA,NA,10.085832,5.09334516,NA,NA
NA,8/9/2021,9:15,A,NA,NA,9.61644,5.31462996,NA,NA
NA,8/16/2021,11:05,A,NA,NA,10.491216,5.41772856,NA,NA
NA,4/7/2021,14:40,MSL,NA,NA,6.896673024,1.14043968,NA,NA
NA,4/23/2021,NA,MSL,NA,NA,7.089648,2.00509632,NA,NA
NA,5/7/2021,14:40,MSL,NA,NA,7.120128,1.47956016,NA,NA
NA,5/17/2021,11:33,MSL,NA,NA,7.556373,2.34742101,NA,NA
NA,5/31/2021,9:40,MSL,NA,NA,7.539228,0.85913976,NA,NA
NA,6/14/2021,NA,MSL,NA,NA,7.217664,0.54860952,NA,NA
NA,6/28/2021,9:10,MSL,NA,NA,8.132064,1.8248376,NA,NA
NA,7/12/2021,9:45,MSL,NA,NA,8.316468,3.25706232,NA,NA
NA,7/19/2021,13:30,MSL,NA,NA,9.474708,4.74796104,NA,NA
NA,7/26/2021,11:00,MSL,NA,NA,9.020556,5.54466252,NA,NA
NA,8/9/2021,10:30,MSL,NA,NA,7.053072,2.95140888,NA,NA
NA,8/16/2021,9:30,MSL,NA,NA,7.549896,2.73963384,NA,NA
NA,4/23/2021,14:20,DRL,NA,NA,10.13561669,3.37072224,NA,NA
NA,5/7/2021,13:50,DRL,NA,NA,10.299192,4.05527256,NA,NA
NA,5/17/2021,13:14,DRL,NA,NA,10.160508,4.81169472,NA,NA
NA,5/31/2021,10:30,DRL,NA,NA,10.242804,4.10989272,NA,NA
NA,6/14/2021,NA,DRL,NA,NA,10.663428,4.52439024,NA,NA
NA,6/28/2021,14:00,DRL,NA,NA,10.404348,4.8390048,NA,NA
NA,7/12/2021,10:30,DRL,NA,NA,10.488168,5.99669616,NA,NA
NA,7/19/2021,14:00,DRL,NA,NA,10.582656,6.24007896,NA,NA
NA,7/26/2021,10:05,DRL,NA,NA,10.383012,7.2682608,NA,NA
NA,8/9/2021,9:45,DRL,NA,NA,10.171176,5.70899544,NA,NA
NA,8/16/2021,10:05,DRL,NA,NA,10.314432,5.449824,NA,NA
