"","Biomass_per_Area","SDI","WholeCanalGPP","WholeCanalER","TSS_mgmL","Light_ext_coeff"
"Biomass_per_Area",1,0.142857142857143,-0.0476190476190476,-0.238095238095238,-0.5,-0.238095238095238
"SDI",0.142857142857143,1,0.714285714285714,-0.80952380952381,0.0714285714285714,0.333333333333333
"WholeCanalGPP",-0.0476190476190476,0.714285714285714,1,-0.523809523809524,-0.0476190476190476,0.2
"WholeCanalER",-0.238095238095238,-0.80952380952381,-0.523809523809524,1,-0.238095238095238,-0.333333333333333
"TSS_mgmL",-0.5,0.0714285714285714,-0.0476190476190476,-0.238095238095238,1,0.714285714285714
"Light_ext_coeff",-0.238095238095238,0.333333333333333,0.2,-0.333333333333333,0.714285714285714,1
