"","Biomass_per_Area","SDI","WholeCanalGPP","WholeCanalER","PAR.30da","PM.30da","Temp.30da","Flow.cms.30da"
"Biomass_per_Area",1,0.142857142857143,-0.0476190476190476,-0.238095238095238,0.642857142857143,0.285714285714286,0.357142857142857,0
"SDI",0.142857142857143,1,0.714285714285714,-0.80952380952381,-0.0714285714285714,0.285714285714286,0.357142857142857,0.285714285714286
"WholeCanalGPP",-0.0476190476190476,0.714285714285714,1,-0.523809523809524,-0.142857142857143,0.0476190476190476,0.0476190476190476,-0.0476190476190476
"WholeCanalER",-0.238095238095238,-0.80952380952381,-0.523809523809524,1,0.238095238095238,-0.523809523809524,-0.523809523809524,-0.428571428571429
"PAR.30da",0.642857142857143,-0.0714285714285714,-0.142857142857143,0.238095238095238,1,0.0714285714285714,0.142857142857143,-0.214285714285714
"PM.30da",0.285714285714286,0.285714285714286,0.0476190476190476,-0.523809523809524,0.0714285714285714,1,0.928571428571429,0.571428571428571
"Temp.30da",0.357142857142857,0.357142857142857,0.0476190476190476,-0.523809523809524,0.142857142857143,0.928571428571429,1,0.5
"Flow.cms.30da",0,0.285714285714286,-0.0476190476190476,-0.428571428571429,-0.214285714285714,0.571428571428571,0.5,1
